frame,timestamp,left_vehicle,right_vehicle,left_distance,right_distance,slope_diff,left_slope,right_slope,road,decision
420,2025-06-23 10:43:15,none,none,-1,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 10:43:16,none,none,-1,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 10:43:17,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 10:43:17,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 10:43:18,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 10:43:19,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 10:43:19,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 10:43:20,none,truck,-1,2.3,20,320,300,wet,BOTH GREEN
240,2025-06-23 10:43:20,truck,none,1.39,-1,20,320,300,wet,BOTH GREEN
270,2025-06-23 10:43:21,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 10:43:21,none,none,-1,-1,20,320,300,wet,BOTH GREEN
330,2025-06-23 10:43:22,none,none,-1,-1,20,320,300,wet,BOTH GREEN
360,2025-06-23 10:43:22,none,none,-1,-1,20,320,300,wet,BOTH GREEN
390,2025-06-23 10:43:23,none,none,-1,-1,20,320,300,wet,BOTH GREEN
420,2025-06-23 10:43:23,none,none,-1,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 10:46:29,truck,none,6.47,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 10:46:30,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 10:46:31,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 10:46:31,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 10:46:32,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 10:46:33,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 10:46:33,none,truck,-1,1.95,20,320,300,wet,BOTH GREEN
240,2025-06-23 10:46:37,none,truck,-1,1.02,20,320,300,wet,BOTH GREEN
270,2025-06-23 10:46:38,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 10:46:38,car,none,20.27,-1,20,320,300,wet,BOTH GREEN
330,2025-06-23 10:46:39,car,none,12.5,-1,20,320,300,wet,BOTH GREEN
360,2025-06-23 10:46:40,car,none,6.3,-1,20,320,300,wet,BOTH GREEN
390,2025-06-23 10:46:40,car,none,35.71,-1,20,320,300,wet,BOTH GREEN
420,2025-06-23 10:46:41,car,none,34.09,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 10:47:28,truck,none,6.47,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 10:47:29,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 10:47:30,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 10:47:30,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 10:47:31,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 10:47:32,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 10:47:32,none,truck,-1,1.95,20,320,300,wet,BOTH GREEN
240,2025-06-23 10:47:33,none,truck,-1,1.02,20,320,300,wet,BOTH GREEN
270,2025-06-23 10:47:33,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 10:47:34,car,none,20.27,-1,20,320,300,wet,BOTH GREEN
330,2025-06-23 10:47:35,car,none,12.5,-1,20,320,300,wet,BOTH GREEN
360,2025-06-23 10:47:35,car,none,6.3,-1,20,320,300,wet,BOTH GREEN
390,2025-06-23 10:47:36,car,none,35.71,-1,20,320,300,wet,BOTH GREEN
420,2025-06-23 10:47:37,car,none,34.09,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 10:49:37,truck,none,6.47,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 10:49:38,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 10:49:39,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 10:49:39,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 10:49:40,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 10:49:42,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 10:49:42,none,truck,-1,1.95,20,320,300,wet,BOTH GREEN
240,2025-06-23 10:49:43,none,truck,-1,1.02,20,320,300,wet,BOTH GREEN
270,2025-06-23 10:49:43,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 10:49:44,car,none,20.27,-1,20,320,300,wet,BOTH GREEN
330,2025-06-23 10:49:45,car,none,12.5,-1,20,320,300,wet,BOTH GREEN
360,2025-06-23 10:49:45,car,none,6.3,-1,20,320,300,wet,BOTH GREEN
390,2025-06-23 10:49:46,car,none,35.71,-1,20,320,300,wet,BOTH GREEN
420,2025-06-23 10:49:47,car,none,34.09,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 10:50:14,truck,truck,6.47,6.47,20,320,300,wet,BOTH GREEN
60,2025-06-23 10:50:15,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 10:50:16,none,none,-1,-1,20,320,300,wet,BOTH GREEN
