frame,timestamp,left_vehicle,right_vehicle,left_distance,right_distance,slope_diff,left_slope,right_slope,road,decision
210,2025-06-23 11:26:29,none,none,-1,-1,20,320,300,wet,BOTH GREEN
240,2025-06-23 11:26:30,none,none,-1,-1,20,320,300,wet,BOTH GREEN
270,2025-06-23 11:26:30,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 11:26:31,car,car,20.27,20.27,20,320,300,wet,BOTH GREEN
330,2025-06-23 11:26:31,car,car,12.5,12.5,20,320,300,wet,BOTH GREEN
360,2025-06-23 11:26:32,car,car,6.3,6.3,20,320,300,wet,BOTH GREEN
390,2025-06-23 11:26:33,car,car,35.71,35.71,20,320,300,wet,BOTH GREEN
420,2025-06-23 11:26:33,car,car,34.09,34.09,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:30:20,truck,truck,6.47,6.47,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:30:21,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:30:21,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:30:22,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:30:23,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:30:23,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 11:30:24,none,none,-1,-1,20,320,300,wet,BOTH GREEN
240,2025-06-23 11:30:25,none,none,-1,-1,20,320,300,wet,BOTH GREEN
270,2025-06-23 11:30:26,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 11:30:26,car,car,20.27,20.27,20,320,300,wet,BOTH GREEN
330,2025-06-23 11:30:27,car,car,12.5,12.5,20,320,300,wet,BOTH GREEN
360,2025-06-23 11:30:28,car,car,6.3,6.3,20,320,300,wet,BOTH GREEN
390,2025-06-23 11:30:28,car,car,35.71,35.71,20,320,300,wet,BOTH GREEN
420,2025-06-23 11:30:29,car,car,34.09,34.09,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:31:52,truck,none,6.47,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:31:53,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:31:53,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:31:54,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:31:55,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:31:56,none,none,-1,-1,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:32:12,truck,truck,6.47,6.47,20,320,300,wet,BOTH GREEN
60,2025-06-23 11:32:13,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 11:32:14,none,none,-1,-1,20,320,300,wet,BOTH GREEN
120,2025-06-23 11:32:14,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 11:32:15,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 11:32:16,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 11:32:18,none,none,-1,-1,20,320,300,wet,BOTH GREEN
240,2025-06-23 11:32:19,none,none,-1,-1,20,320,300,wet,BOTH GREEN
270,2025-06-23 11:32:20,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 11:32:21,car,car,20.27,20.27,20,320,300,wet,BOTH GREEN
330,2025-06-23 11:32:23,car,car,12.5,12.5,20,320,300,wet,BOTH GREEN
360,2025-06-23 11:32:24,car,car,6.3,6.3,20,320,300,wet,BOTH GREEN
390,2025-06-23 11:32:25,car,car,35.71,35.71,20,320,300,wet,BOTH GREEN
420,2025-06-23 11:32:26,car,car,34.09,34.09,20,320,300,wet,BOTH GREEN
30,2025-06-23 11:34:44,truck,none,6.47,-1,20,320,300,wet,left
60,2025-06-23 11:34:45,none,none,-1,-1,20,320,300,wet,both
90,2025-06-23 11:34:46,none,none,-1,-1,20,320,300,wet,both
120,2025-06-23 11:34:46,none,none,-1,-1,20,320,300,wet,both
150,2025-06-23 11:34:47,none,none,-1,-1,20,320,300,wet,both
180,2025-06-23 11:34:47,none,none,-1,-1,20,320,300,wet,both
210,2025-06-23 11:34:48,none,truck,-1,1.95,20,320,300,wet,right
240,2025-06-23 11:34:49,none,truck,-1,1.02,20,320,300,wet,right
270,2025-06-23 11:34:49,none,none,-1,-1,20,320,300,wet,both
300,2025-06-23 11:34:50,car,none,20.27,-1,20,320,300,wet,left
330,2025-06-23 11:34:51,car,none,12.5,-1,20,320,300,wet,left
360,2025-06-23 11:34:51,car,none,6.3,-1,20,320,300,wet,left
390,2025-06-23 11:34:52,car,none,35.71,-1,20,320,300,wet,left
420,2025-06-23 11:34:54,car,none,34.09,-1,20,320,300,wet,left
30,2025-06-23 11:35:22,truck,truck,6.47,6.47,20,320,300,wet,right
60,2025-06-23 11:35:23,none,none,-1,-1,20,320,300,wet,both
90,2025-06-23 11:35:24,none,none,-1,-1,20,320,300,wet,both
120,2025-06-23 11:35:24,none,none,-1,-1,20,320,300,wet,both
150,2025-06-23 11:35:25,none,none,-1,-1,20,320,300,wet,both
180,2025-06-23 11:35:25,none,none,-1,-1,20,320,300,wet,both
210,2025-06-23 11:35:26,none,none,-1,-1,20,320,300,wet,both
240,2025-06-23 11:35:27,none,none,-1,-1,20,320,300,wet,both
270,2025-06-23 11:35:27,none,none,-1,-1,20,320,300,wet,both
300,2025-06-23 11:35:28,car,car,20.27,20.27,20,320,300,wet,right
330,2025-06-23 11:35:29,car,car,12.5,12.5,20,320,300,wet,right
360,2025-06-23 11:35:29,car,car,6.3,6.3,20,320,300,wet,right
390,2025-06-23 11:35:30,car,car,35.71,35.71,20,320,300,wet,right
420,2025-06-23 11:35:31,car,car,34.09,34.09,20,320,300,wet,right
30,2025-06-23 11:37:51,truck,truck,6.47,6.47,20,320,300,wet,both
60,2025-06-23 11:37:52,none,none,-1,-1,20,320,300,wet,both
90,2025-06-23 11:37:53,none,none,-1,-1,20,320,300,wet,both
120,2025-06-23 11:37:53,none,none,-1,-1,20,320,300,wet,both
150,2025-06-23 11:37:54,none,none,-1,-1,20,320,300,wet,both
180,2025-06-23 11:37:54,none,none,-1,-1,20,320,300,wet,both
210,2025-06-23 11:37:55,none,none,-1,-1,20,320,300,wet,both
240,2025-06-23 11:37:56,none,none,-1,-1,20,320,300,wet,both
270,2025-06-23 11:37:56,none,none,-1,-1,20,320,300,wet,both
300,2025-06-23 11:37:57,car,car,20.27,20.27,20,320,300,wet,both
330,2025-06-23 11:37:58,car,car,12.5,12.5,20,320,300,wet,both
360,2025-06-23 11:37:58,car,car,6.3,6.3,20,320,300,wet,both
390,2025-06-23 11:37:59,car,car,35.71,35.71,20,320,300,wet,both
420,2025-06-23 11:38:00,car,car,34.09,34.09,20,320,300,wet,both
